from_stop_id,to_stop_id,transfer_type
10573,10850,0
13066,9981,0
6672,5234,0
9979,9981,0
13123,12793,0
1226,1226,0
12382,2567,0
5028,5028,0
9826,9958,0
8375,8375,0
7691,2542,0
10772,2030,0
12792,3054,0
8346,10846,0
9983,9977,0
8333,9598,0
7586,8334,0
7765,7594,0
8342,4053,0
13302,9598,0
9870,9871,0
10121,10299,0
8380,8337,0
8181,9845,0
12922,12922,0
10756,10770,0
6611,2010,0
6964,6964,0
9845,9954,0
3129,3129,0
9970,9969,0
7789,13169,0
9169,2296,0
9976,9976,0
2167,704,0
5105,7737,0
8347,8190,0
7803,7586,0
1572,1332,0
4068,1661,0
13218,13136,0
1846,5911,0
3620,3622,0
5425,6652,0
5239,7793,0
10573,10852,0
2209,9403,0
9757,9758,0
3054,1114,0
6543,2599,0
2574,2574,0
9956,9845,0
9836,10033,0
4664,1792,0
4091,8928,0
10846,8346,0
1579,8356,0
7608,3639,0
9553,9757,0
9758,9599,0
8340,2592,0
10871,10868,0
137,136,0
10315,10721,0
7800,7789,0
4536,4536,0
8760,8758,0
10973,6532,0
1129,3603,0
8211,8212,0
9976,9983,0
1459,7445,0
8334,7803,0
6009,9547,0
10869,10871,0
2747,1778,0
11817,11817,0
11486,12790,0
9624,9625,0
8345,7828,0
12792,10118,0
11512,3169,0
1847,5910,0
5467,11073,0
1140,173,0
9303,13171,0
10851,10572,0
9972,9971,0
8381,8382,0
6623,8368,0
9185,2296,0
5960,6218,0
6631,1381,0
7646,8382,0
7963,1759,0
7631,782,0
10579,10579,0
1129,3604,0
4054,8342,0
8357,8198,0
9984,9981,0
5911,1846,0
7683,1794,0
12375,2567,0
9981,9977,0
7110,1435,0
3192,7382,0
11486,12793,0
7807,7807,0
4054,4053,0
12762,7794,0
7476,4653,0
13212,4818,0
7782,7751,0
6920,2081,0
13167,11486,0
1759,7962,0
9818,9983,0
9981,9985,0
5006,1114,0
1551,7960,0
9860,735,0
3167,2208,0
10794,7484,0
10869,8344,0
7767,12793,0
7920,7921,0
93,3452,0
7451,7451,0
11817,8340,0
8382,8334,0
554,554,0
10762,7756,0
9027,2366,0
3633,3633,0
5499,8048,0
9795,8361,0
3596,3596,0
7634,7634,0
9986,9976,0
1470,7655,0
1471,7679,0
4043,5958,0
6169,10768,0
7440,7440,0
