route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
4,S.318,2306200,1,401,82722,
4,S.318,2306201,1,2003,82722,
4,S.318,2306202,1,403,82722,
4,S.318,2306203,1,2006,82721,
4,S.318,2306204,1,2006,82728,
4,S.318,2306205,1,2003,82727,
4,S.318,2305910,0,901,82719,
4,S.318,2305911,0,901,82718,
4,S.318,2305912,0,2067,82720,
4,S.318,2305913,0,903,82720,
4,S.318,2305914,0,934,82720,
4,S.318,2305915,0,2003,82720,
4,S.318,2305916,0,1268,82720,
4,S.318,2305917,0,937,82720,
4,S.318,2305918,0,2035,82720,
4,S.318,2305919,0,2004,82720,
4,S.318,2305920,0,901,82720,
4,S.318,2305921,0,2070,82720,
4,S.318,2305922,0,435,82720,
4,S.318,2305923,0,436,82720,
4,S.318,2305924,0,903,82720,
4,S.318,2305925,0,401,82720,
4,S.318,2305926,0,402,82720,
4,S.318,2305927,0,2068,82720,
4,S.318,2305928,0,1268,82720,
4,S.318,2305929,0,403,82720,
4,S.318,2305930,0,404,82720,
4,S.318,2305931,0,2069,82720,
4,S.318,2305932,0,434,82720,
4,S.318,2305933,0,437,82720,
4,S.318,2305934,0,438,82720,
4,S.318,2305935,0,2070,82720,
4,S.318,2305936,0,435,82720,
4,S.318,2305937,0,436,82720,
4,S.318,2305938,0,903,82720,
4,S.318,2305939,0,401,82720,
4,S.318,2305940,0,402,82720,
4,S.318,2305941,0,2068,82720,
4,S.318,2305942,0,1268,82720,
4,S.318,2305943,0,403,82720,
4,S.318,2305944,0,404,82720,
4,S.318,2305945,0,2069,82720,
4,S.318,2305946,0,434,82720,
4,S.318,2305947,0,437,82720,
4,S.318,2305948,0,438,82720,
4,S.318,2305949,0,2070,82720,
4,S.318,2305950,0,435,82720,
4,S.318,2305951,0,436,82720,
4,S.318,2305952,0,439,82720,
4,S.318,2305953,0,401,82720,
4,S.318,2305954,0,402,82720,
4,S.318,2305955,0,938,82720,
4,S.318,2305956,0,1268,82720,
4,S.318,2305957,0,403,82720,
4,S.318,2305958,0,2069,82720,
4,S.318,2305959,0,434,82720,
4,S.318,2305960,0,2037,82720,
4,S.318,2305961,0,435,82720,
4,S.318,2305962,0,1201,82719,
4,S.318,2305963,0,1201,82718,
4,S.318,2305964,0,2003,82719,
4,W.318,2306018,0,1267,82719,
4,W.318,2306019,0,1267,82718,
4,W.318,2306020,0,402,82720,
4,W.318,2306021,0,401,82720,
4,W.318,2306022,0,2002,82720,
4,W.318,2306023,0,406,82720,
4,W.318,2306024,0,441,82720,
4,W.318,2306025,0,443,82720,
4,W.318,2306026,0,435,82720,
4,W.318,2306027,0,444,82720,
4,W.318,2306028,0,438,82720,
4,W.318,2306029,0,1235,82720,
4,W.318,2306030,0,1245,82720,
4,W.318,2306031,0,2036,82720,
4,W.318,2306032,0,439,82720,
4,W.318,2306033,0,404,82720,
4,W.318,2306034,0,436,82720,
4,W.318,2306035,0,407,82720,
4,W.318,2306036,0,448,82720,
4,W.318,2306037,0,450,82720,
4,W.318,2306038,0,451,82720,
4,W.318,2306039,0,442,82720,
4,W.318,2306040,0,405,82720,
4,W.318,2306041,0,452,82720,
4,W.318,2306042,0,434,82720,
4,W.318,2306043,0,406,82720,
4,W.318,2306044,0,441,82720,
4,W.318,2306045,0,435,82720,
4,W.318,2306046,0,444,82720,
4,W.318,2306047,0,437,82720,
4,W.318,2306048,0,1245,82720,
4,W.318,2306049,0,403,82720,
4,W.318,2306050,0,404,82720,
4,W.318,2306051,0,436,82720,
4,W.318,2306052,0,407,82720,
4,W.318,2306053,0,448,82720,
4,W.318,2306054,0,450,82720,
4,W.318,2306055,0,451,82720,
4,W.318,2306056,0,442,82720,
4,W.318,2306057,0,401,82720,
4,W.318,2306058,0,405,82720,
4,W.318,2306059,0,408,82720,
4,W.318,2306060,0,452,82720,
4,W.318,2306061,0,434,82720,
4,W.318,2306062,0,447,82717,
4,W.318,2306063,0,443,82720,
4,W.318,2306313,1,404,82722,
4,W.318,2306314,1,2038,82722,
4,W.318,2306315,1,436,82722,
4,W.318,2306316,1,407,82722,
4,W.318,2306317,1,448,82722,
4,W.318,2306318,1,1272,82722,
4,W.318,2306319,1,409,82722,
4,W.318,2306320,1,451,82722,
4,W.318,2306321,1,410,82722,
4,W.318,2306322,1,902,82722,
4,W.318,2306323,1,405,82722,
4,W.318,2306324,1,408,82722,
4,W.318,2306325,1,412,82722,
4,W.318,2306326,1,449,82722,
4,W.318,2306327,1,406,82722,
4,W.318,2306328,1,446,82722,
4,W.318,2306329,1,411,82722,
4,W.318,2306330,1,402,82722,
4,W.318,2306331,1,2003,82722,
4,W.318,2306332,1,438,82722,
4,W.318,2306333,1,404,82722,
4,W.318,2306334,1,450,82722,
4,W.318,2306335,1,448,82722,
4,W.318,2306336,1,409,82722,
4,W.318,2306337,1,445,82722,
4,W.318,2306338,1,902,82722,
4,W.318,2306339,1,408,82722,
4,W.318,2306340,1,401,82722,
4,W.318,2306341,1,901,82722,
4,W.318,2306342,1,402,82721,
4,W.318,2306343,1,402,82728,
4,W.318,2306344,1,401,82727,
4,W.318,2306064,0,449,82717,
4,W.318,2306065,0,406,82720,
4,W.318,2306066,0,441,82720,
4,W.318,2306067,0,453,82717,
4,W.318,2306068,0,446,82720,
4,W.318,2306069,0,439,82720,
4,W.318,2306070,0,454,82717,
4,W.318,2306071,0,435,82720,
4,W.318,2306072,0,411,82717,
4,W.318,2306073,0,444,82720,
4,W.318,2306074,0,440,82720,
4,W.318,2306075,0,402,82720,
4,W.318,2306076,0,437,82720,
4,W.318,2306077,0,2003,82720,
4,W.318,2306078,0,438,82720,
4,W.318,2306079,0,447,82717,
4,W.318,2306080,0,404,82720,
4,W.318,2306081,0,2038,82720,
4,W.318,2306082,0,436,82720,
4,W.318,2306083,0,448,82720,
4,W.318,2306084,0,409,82720,
4,W.318,2306085,0,451,82720,
4,W.318,2306086,0,902,82720,
4,W.318,2306087,0,408,82720,
4,W.318,2306088,0,449,82720,
4,W.318,2306089,0,406,82720,
4,W.318,2306090,0,446,82720,
4,W.318,2306091,0,411,82720,
4,W.318,2306092,0,402,82720,
